Real,Previsto
545000.0,516944.9917877448
155000.0,286147.98560700874
150000.0,365093.23529411765
225000.0,311228.07042253524
89000.0,200936.93244246475
640000.0,511658.53658536583
985000.0,738258.6346153846
176000.0,291475.01516683516
749900.0,626833.0266666666
1699000.0,562735.2483221476
235000.0,286147.98560700874
603750.0,795787.4549549549
1100000.0,753897.339055794
235000.0,200936.93244246475
390000.0,365093.23529411765
530000.0,733778.9817444219
620000.0,938076.5765765766
289000.0,267351.6029645315
260000.0,311228.07042253524
160000.0,200936.93244246475
135000.0,365093.23529411765
25000.0,200936.93244246475
305000.0,289105.55555555556
230000.0,200936.93244246475
3180000.0,2021860.6333333333
525000.0,286147.98560700874
250000.0,286147.98560700874
267000.0,200936.93244246475
890000.0,714538.4615384615
260000.0,365093.23529411765
300000.0,200936.93244246475
3300000.0,798450.7593880389
515000.0,365093.23529411765
368369.0,267351.6029645315
237000.0,365093.23529411765
294000.0,286147.98560700874
105000.0,365093.23529411765
152000.0,365093.23529411765
499500.0,511658.53658536583
